phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.9,22,25,0.11619340634215579,0.11946611996258974,0.0200858998704196,0.10807197247573855,0.1469253283172086,0.01509752132993746,0.09956814680599856
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.5,12,25,0.050671836957692576,0.06171200516173713,0.04330862502128369,0.014362591562812976,0.21576155314815434,0.03168507190508091,0.16508971619046175
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.7,18,25,0.050671836957692576,0.05527994140028983,0.02655242884458383,0.026253764237068728,0.12743098058281985,0.019702588957140107,0.16508971619046175
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.9,22,25,0.050671836957692576,0.0504850845516858,0.012246827799993263,0.04092823899285849,0.07976421249129338,0.010336333396014044,0.05740013551804597
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.5,12,25,0.0890645784493628,0.09816643027828034,0.05012840541784394,0.033822075553417194,0.21576155314815434,0.03913979216033107,0.12669697469879154
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.7,18,25,0.0890645784493628,0.09223547582967778,0.028318574355119475,0.06465997354270905,0.13698907829764298,0.02093744975235892,0.12669697469879154
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.9,22,25,0.0890645784493628,0.08892037656351855,0.015114816564359273,0.07976421249129338,0.10807197247573855,0.012950713383117495,0.057860749867845784
polite_speech,state_1,second_person,0.5,12,25,0.6655122735948946,0.6706217360352953,0.0051238529702883895,0.6633471919115994,0.6768263000324242,0.0060101364206515415,0.011314026437529545
polite_speech,state_1,second_person,0.7,18,25,0.6655122735948946,0.6680881292104759,0.00422950755990819,0.6645254415434168,0.6768263000324242,0.003546898354235579,0.011314026437529545
polite_speech,state_1,second_person,0.9,22,25,0.6655122735948946,0.6666174711904589,0.002887924152278094,0.665126271957044,0.673397185869233,0.001682656045788824,0.011314026437529545
polite_speech,state_1,first_person,0.5,12,25,0.3608719621931641,0.36248210917707663,0.0032740906316198713,0.35934276224064765,0.365883068358208,0.0032005149345296236,0.00501110616504391
polite_speech,state_1,first_person,0.7,18,25,0.3608719621931641,0.3619039846240288,0.001331136037452565,0.35934276224064765,0.3625930444530602,0.001680403210731603,0.0017210822598960895
