model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,second_person,0.5,12,25,0.16755255903252458,0.18035693147941065,0.05188674240095185,0.11945289317645594,0.2628655962076299,0.03637715473546824,0.09531303717510531
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,second_person,0.7,18,25,0.16755255903252458,0.17238591677613085,0.031115820030344726,0.14722597116890046,0.2628655962076299,0.02511929243150309,0.09531303717510531
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,second_person,0.9,22,25,0.16755255903252458,0.1690643901119068,0.017700527758275263,0.1599245139969101,0.19659150674289322,0.013213252164014831,0.09531303717510531
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,first_person,0.5,12,25,0.20209288865128666,0.214988677365274,0.048868667487074496,0.16515759857016887,0.2628655962076299,0.049092372993482764,0.06077270755634323
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,first_person,0.7,18,25,0.20209288865128666,0.20912284876792347,0.03436425595821692,0.18717158572917006,0.2628655962076299,0.02821821026604232,0.06077270755634323
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,first_person,0.9,22,25,0.20209288865128666,0.20567105699956212,0.022799572663985013,0.19659150674289322,0.2628655962076299,0.013073553522162565,0.06077270755634323
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,third_person,0.5,12,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,third_person,0.7,18,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,third_person,0.9,22,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,second_person,0.5,12,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,second_person,0.7,18,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,second_person,0.9,22,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,first_person,0.5,12,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,first_person,0.7,18,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,first_person,0.9,22,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,third_person,0.5,12,25,0.05883843238299703,0.0802506952147848,0.038399441405413445,0.029232963226509902,0.15658617091675048,0.03719953029216667,0.09774773853375344
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,third_person,0.7,18,25,0.05883843238299703,0.06778038877515145,0.026292231763955135,0.04415122789865588,0.10796226287529026,0.019722364483660826,0.09774773853375344
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,third_person,0.9,22,25,0.05883843238299703,0.06279890155636053,0.0164811222618289,0.05302273946075917,0.11277602264516778,0.011695340759939839,0.05393759026217075
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,second_person,0.5,12,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,second_person,0.7,18,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,second_person,0.9,22,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,first_person,0.5,12,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,first_person,0.7,18,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,first_person,0.9,22,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,third_person,0.5,12,25,0.04244369917877295,0.04815974810621711,0.015505229864885037,0.0322432635981396,0.09693976458828762,0.012117536140657541,0.08558388095404318
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,third_person,0.7,18,25,0.04244369917877295,0.04377259479340287,0.008339490897062889,0.0322432635981396,0.06446628060735646,0.0060949772310840205,0.02202258142858351
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,third_person,0.9,22,25,0.04244369917877295,0.043118341277378534,0.004833958108862883,0.03576153669078306,0.04899582961707359,0.00399047477346448,0.009813471067555903
